iter	Passed	Remaining
175	1299	6083
176	1301	6051
177	1307	6037
178	1316	6040
179	1320	6017
180	1327	6004
181	1333	5992
182	1339	5978
183	1350	5987
184	1352	5960
185	1362	5962
186	1366	5939
187	1380	5961
188	1383	5935
189	1390	5926
190	1394	5904
191	1407	5921
192	1440	6024
193	1446	6011
194	1449	5982
195	1456	5974
196	1460	5952
197	1471	5958
198	1479	5953
199	1484	5939
200	1492	5931
201	1498	5921
202	1505	5912
203	1526	5958
204	1531	5938
205	1538	5929
206	1547	5927
207	1550	5903
208	1557	5896
209	1565	5888
210	1568	5866
211	1585	5893
212	1593	5886
213	1595	5860
214	1607	5868
215	1611	5847
216	1618	5838
217	1620	5813
218	1623	5789
219	1628	5774
220	1630	5748
221	1637	5737
222	1641	5720
223	1646	5703
224	1651	5687
225	1658	5680
226	1662	5662
227	1666	5644
228	1673	5633
229	1680	5626
230	1687	5616
231	1696	5616
232	1699	5595
233	1704	5578
234	1708	5563
235	1712	5543
236	1718	5533
237	1724	5521
238	1728	5505
239	1736	5499
240	1742	5487
241	1751	5485
242	1754	5464
243	1758	5449
244	1768	5449
245	1774	5439
246	1779	5423
247	1783	5408
248	1788	5392
249	1791	5374
250	1796	5360
251	1798	5337
252	1805	5330
253	1809	5314
254	1812	5293
255	1818	5284
256	1821	5265
257	1824	5246
258	1827	5229
259	1834	5222
260	1839	5207
261	1842	5189
262	1850	5185
263	1855	5173
264	1863	5168
265	1866	5149
266	1875	5148
267	1882	5142
268	1885	5124
269	1895	5123
270	1898	5108
271	1910	5112
272	1917	5105
273	1925	5103
274	1930	5090
275	1936	5080
276	1941	5066
277	1946	5054
278	1955	5052
279	1964	5052
280	1972	5048
281	1976	5032
282	1980	5018
283	1983	5001
284	1988	4987
285	1990	4969
286	1994	4955
287	2001	4949
288	2006	4937
289	2015	4935
290	2019	4920
291	2022	4904
292	2033	4906
293	2035	4888
294	2038	4871
295	2045	4865
296	2049	4849
297	2051	4832
298	2055	4819
299	2058	4803
300	2063	4791
301	2069	4783
302	2071	4765
303	2077	4755
304	2080	4741
305	2083	4725
306	2090	4718
307	2093	4702
308	2097	4689
309	2101	4678
310	2105	4664
311	2111	4655
312	2114	4642
313	2118	4629
314	2121	4613
315	2128	4608
316	2131	4592
317	2138	4586
318	2145	4580
319	2154	4577
320	2157	4563
321	2162	4552
322	2167	4543
323	2170	4529
324	2178	4524
325	2182	4512
326	2203	4535
327	2213	4534
328	2223	4534
329	2242	4552
330	2260	4568
331	2265	4559
332	2268	4543
333	2277	4541
334	2288	4543
335	2305	4555
336	2320	4565
337	2323	4550
338	2329	4542
339	2334	4532
340	2341	4524
341	2355	4532
342	2368	4535
343	2377	4533
344	2381	4520
345	2393	4524
346	2400	4518
347	2406	4509
348	2413	4502
349	2417	4488
350	2425	4485
351	2428	4471
352	2432	4457
353	2436	4446
354	2438	4431
355	2471	4471
356	2475	4458
357	2477	4443
358	2484	4435
359	2491	4428
360	2497	4421
361	2505	4416
362	2509	4404
363	2518	4399
364	2521	4387
365	2524	4372
366	2528	4361
367	2535	4354
368	2547	4355
369	2550	4342
370	2570	4358
371	2581	4358
372	2589	4352
373	2627	4397
374	2684	4474
375	2713	4502
376	2742	4532
377	2754	4533
378	2799	4586
379	2828	4614
380	2837	4610
381	2853	4617
382	2856	4601
383	2865	4596
384	2875	4593
385	2880	4582
386	2890	4577
387	2899	4573
388	2905	4564
389	2908	4548
390	2911	4534
391	2914	4520
392	2924	4516
393	2932	4510
394	2936	4498
395	2940	4485
396	2947	4476
397	2951	4464
398	2953	4449
399	2957	4435
400	2960	4421
401	2962	4407
402	2968	4397
403	2972	4384
404	2984	4383
405	2990	4375
406	3004	4378
407	3010	4367
408	3015	4356
409	3021	4347
410	3024	4334
411	3038	4335
412	3040	4322
413	3043	4308
414	3051	4300
415	3054	4287
416	3060	4278
417	3067	4271
418	3071	4258
419	3075	4246
420	3084	4242
421	3088	4230
422	3092	4218
423	3097	4208
424	3099	4193
425	3103	4182
426	3107	4170
427	3109	4156
428	3114	4145
429	3117	4132
430	3120	4119
431	3122	4105
432	3125	4093
433	3127	4079
434	3130	4065
435	3133	4053
436	3135	4039
437	3139	4028
438	3142	4015
439	3146	4005
440	3150	3994
441	3154	3982
442	3159	3972
443	3164	3963
444	3167	3950
445	3169	3937
446	3171	3924
447	3177	3914
448	3180	3903
449	3182	3889
450	3185	3877
451	3189	3866
452	3195	3858
453	3197	3845
454	3202	3835
455	3205	3824
456	3208	3812
457	3212	3801
458	3214	3789
459	3218	3778
460	3221	3766
461	3227	3757
462	3233	3750
463	3236	3738
464	3239	3726
465	3240	3713
466	3242	3701
467	3246	3690
468	3248	3677
469	3250	3665
470	3258	3660
471	3266	3653
472	3271	3645
473	3278	3638
474	3285	3631
475	3290	3622
476	3295	3613
477	3300	3604
478	3306	3596
479	3312	3588
480	3315	3577
481	3323	3571
482	3329	3563
483	3333	3554
484	3338	3545
485	3341	3533
486	3344	3522
487	3348	3512
488	3351	3502
489	3356	3493
490	3360	3483
491	3363	3472
492	3367	3463
493	3375	3457
494	3379	3447
495	3392	3446
496	3401	3442
497	3405	3433
498	3409	3423
499	3413	3413
500	3421	3407
501	3430	3403
502	3433	3392
503	3441	3387
504	3453	3385
505	3457	3375
506	3459	3363
507	3461	3352
508	3464	3342
509	3466	3330
510	3469	3319
511	3475	3312
512	3479	3302
513	3482	3292
514	3487	3283
515	3494	3277
516	3498	3268
517	3503	3260
518	3526	3268
519	3536	3264
520	3539	3254
521	3544	3246
522	3550	3238
523	3555	3229
524	3557	3218
525	3569	3216
526	3576	3210
527	3583	3203
528	3589	3195
529	3595	3188
530	3602	3181
531	3608	3174
532	3612	3165
533	3616	3156
534	3622	3148
535	3626	3139
536	3631	3130
537	3633	3120
538	3636	3110
539	3641	3101
540	3646	3093
541	3649	3083
542	3651	3072
543	3653	3062
544	3656	3052
545	3658	3041
546	3676	3044
547	3680	3035
548	3683	3026
549	3690	3019
550	3692	3009
551	3695	2999
552	3700	2991
553	3702	2980
554	3704	2970
555	3707	2960
556	3712	2952
557	3715	2943
558	3718	2933
559	3720	2923
560	3722	2913
561	3725	2903
562	3729	2894
563	3731	2884
564	3734	2875
565	3736	2865
566	3738	2855
567	3742	2846
568	3745	2837
569	3749	2828
570	3754	2821
571	3760	2813
572	3762	2803
573	3767	2796
574	3770	2786
575	3772	2776
576	3774	2767
577	3780	2760
578	3783	2751
579	3795	2748
580	3804	2744
581	3808	2735
582	3812	2726
583	3818	2719
584	3822	2711
585	3825	2702
586	3828	2693
587	3833	2685
588	3835	2676
589	3840	2668
590	3843	2659
591	3845	2650
592	3847	2640
593	3852	2633
594	3858	2626
595	3862	2618
596	3866	2610
597	3872	2603
598	3879	2597
599	3883	2588
600	3887	2581
601	3890	2572
602	3893	2563
603	3900	2557
604	3905	2549
605	3912	2543
606	3918	2536
607	3921	2528
608	3925	2520
609	3930	2512
610	3933	2504
611	3935	2495
612	3940	2487
613	3946	2480
614	3951	2473
615	3953	2464
616	3959	2458
617	3962	2449
618	3965	2440
619	3971	2434
620	3974	2425
621	3978	2417
622	3981	2409
623	3985	2401
624	3987	2392
625	3989	2383
626	3994	2376
627	3999	2368
628	4002	2360
629	4005	2352
630	4011	2345
631	4017	2339
632	4021	2331
633	4025	2324
634	4032	2318
635	4036	2310
636	4040	2302
637	4043	2294
638	4046	2285
639	4048	2277
640	4053	2269
641	4056	2261
642	4059	2254
643	4062	2245
644	4066	2238
645	4069	2229
646	4071	2221
647	4078	2215
648	4081	2207
649	4084	2199
650	4087	2191
651	4096	2186
652	4101	2179
653	4105	2172
654	4110	2165
655	4114	2157
656	4117	2149
657	4120	2141
658	4123	2133
659	4127	2126
660	4131	2119
661	4135	2111
662	4139	2103
663	4146	2098
664	4148	2089
665	4153	2082
666	4156	2075
667	4160	2067
668	4162	2059
669	4165	2051
670	4170	2045
671	4173	2037
672	4180	2031
673	4189	2026
674	4196	2020
675	4200	2013
676	4202	2005
677	4204	1997
678	4209	1990
679	4213	1982
680	4218	1975
681	4222	1968
682	4226	1961
683	4231	1954
684	4234	1947
685	4239	1940
686	4244	1933
687	4249	1926
688	4252	1919
689	4258	1913
690	4261	1905
691	4263	1897
692	4269	1891
693	4273	1884
694	4276	1876
695	4286	1872
696	4288	1864
697	4294	1858
698	4299	1851
699	4301	1843
700	4306	1836
701	4308	1829
702	4315	1822
703	4317	1815
704	4322	1808
705	4326	1801
706	4329	1794
707	4332	1786
708	4334	1778
709	4336	1771
710	4338	1763
711	4340	1755
712	4343	1748
713	4350	1742
714	4353	1735
715	4355	1727
716	4358	1720
717	4372	1717
718	4374	1709
719	4380	1703
720	4395	1701
721	4414	1699
722	4421	1694
723	4424	1686
724	4429	1680
725	4432	1672
726	4435	1665
727	4441	1659
728	4451	1654
729	4455	1648
730	4462	1642
731	4470	1636
732	4478	1631
733	4483	1624
734	4491	1619
735	4496	1612
736	4500	1605
737	4512	1602
738	4518	1595
739	4523	1589
740	4529	1583
741	4532	1575
742	4544	1571
743	4548	1564
744	4554	1558
745	4556	1551
746	4560	1544
747	4571	1540
748	4574	1532
749	4582	1527
750	4584	1520
751	4594	1515
752	4597	1508
753	4602	1501
754	4607	1495
755	4614	1489
756	4617	1482
757	4620	1475
758	4624	1468
759	4628	1461
760	4632	1454
761	4637	1448
762	4654	1445
763	4658	1438
764	4662	1432
765	4665	1425
766	4674	1420
767	4682	1414
768	4694	1410
769	4698	1403
770	4700	1396
771	4708	1390
772	4714	1384
773	4719	1378
774	4724	1371
775	4727	1364
776	4732	1358
777	4736	1351
778	4739	1344
779	4748	1339
780	4751	1332
781	4754	1325
782	4759	1318
783	4762	1312
784	4769	1306
785	4777	1300
786	4780	1293
787	4790	1288
788	4795	1282
789	4804	1277
790	4806	1270
791	4820	1266
792	4824	1259
793	4829	1252
794	4832	1246
795	4835	1239
796	4839	1232
797	4843	1225
798	4845	1219
799	4848	1212
800	4856	1206
801	4864	1200
802	4869	1194
803	4872	1187
804	4876	1181
805	4881	1175
806	4884	1168
807	4888	1161
808	4896	1156
809	4901	1149
810	4906	1143
811	4913	1137
812	4917	1131
813	4930	1126
814	4940	1121
815	4953	1117
816	4961	1111
817	4964	1104
818	4967	1097
819	4974	1091
820	4976	1085
821	4989	1080
822	4995	1074
823	5001	1068
824	5007	1062
825	5010	1055
826	5013	1048
827	5019	1042
828	5025	1036
829	5031	1030
830	5041	1025
831	5044	1018
832	5048	1012
833	5052	1005
834	5056	999
835	5058	992
836	5064	986
837	5070	980
838	5080	974
839	5083	968
840	5085	961
841	5099	956
842	5112	952
843	5114	945
844	5120	939
845	5124	932
846	5130	926
847	5135	920
848	5138	913
849	5142	907
850	5145	900
851	5153	895
852	5157	888
853	5172	884
854	5180	878
855	5183	872
856	5190	866
857	5198	860
858	5204	854
859	5213	848
860	5234	845
861	5237	838
862	5245	832
863	5254	827
864	5256	820
865	5259	813
866	5263	807
867	5272	801
868	5294	798
869	5297	791
870	5305	785
871	5308	779
872	5317	773
873	5328	768
874	5334	762
875	5354	757
876	5361	751
877	5364	745
878	5367	738
879	5371	732
880	5375	726
881	5379	719
882	5396	714
883	5404	709
884	5410	703
885	5414	696
886	5416	690
887	5418	683
888	5423	677
889	5428	670
890	5430	664
891	5433	657
892	5435	651
893	5439	644
894	5443	638
895	5446	632
896	5450	625
897	5452	619
898	5456	613
899	5464	607
900	5468	600
901	5487	596
902	5489	589
903	5491	583
904	5494	576
905	5498	570
906	5501	564
907	5505	557
908	5509	551
909	5514	545
910	5517	539
911	5522	532
912	5528	526
913	5531	520
914	5538	514
915	5542	508
916	5544	501
917	5553	496
918	5561	490
919	5566	484
920	5571	477
921	5573	471
922	5577	465
923	5579	458
924	5583	452
925	5586	446
926	5590	440
927	5592	433
928	5594	427
929	5597	421
930	5599	414
931	5602	408
932	5604	402
933	5606	396
934	5609	389
935	5612	383
936	5616	377
937	5618	371
938	5622	365
939	5625	359
940	5627	352
941	5630	346
942	5632	340
943	5634	334
944	5636	328
945	5642	322
946	5644	315
947	5651	309
948	5653	303
949	5656	297
950	5658	291
951	5662	285
952	5666	279
953	5668	273
954	5673	267
955	5676	261
956	5680	255
957	5685	249
958	5692	243
959	5699	237
960	5718	232
961	5725	226
962	5726	220
963	5732	214
964	5735	208
965	5738	201
966	5740	195
967	5751	190
968	5757	184
969	5760	178
970	5768	172
971	5775	166
972	5779	160
973	5791	154
974	5796	148
975	5801	142
976	5806	136
977	5811	130
978	5819	124
979	5828	118
980	5833	112
981	5837	107
982	5841	101
983	5844	95
984	5848	89
985	5851	83
986	5854	77
987	5856	71
988	5862	65
989	5869	59
990	5875	53
991	5877	47
992	5881	41
993	5884	35
994	5888	29
995	5894	23
996	5900	17
997	5906	11
998	5914	5
999	5920	0
